positionHor,positionVer,orientation,response, rt
4.242640687119286, 4.242640687119286,0, 1, 0.6022305437363684
-4.242640687119285, 4.242640687119286,90, 1, 0.72638975456357
-1.102182119232618e-15, -6.0,0, 0, None
6.0, 0.0,0, 0, None
3.6739403974420594e-16, 6.0,90, 1, 0.6837397865019739
-1.102182119232618e-15, -6.0,90, 1, 0.7614595466293395
4.242640687119286, 4.242640687119286,90, 1, 0.6513868686743081
6.0, 0.0,90, 1, 0.846279677003622
4.242640687119284, -4.242640687119286,90, 1, 0.7535820617340505
3.6739403974420594e-16, 6.0,0, 0, None
-6.0, 7.347880794884119e-16,0, 0, None
-6.0, 7.347880794884119e-16,90, 1, 0.6510448423214257
-4.242640687119286, -4.242640687119285,0, 0, None
4.242640687119284, -4.242640687119286,0, 0, None
-4.242640687119285, 4.242640687119286,0, 0, None
-4.242640687119286, -4.242640687119285,90, 1, 0.6177552794106305
