positionHor,positionVer,orientation,response, rt
4.242640687119284, -4.242640687119286,0, 0, None
-6.0, 7.347880794884119e-16,0, 0, None
-4.242640687119285, 4.242640687119286,90, 0, None
3.6739403974420594e-16, 6.0,90, 0, None
-6.0, 7.347880794884119e-16,90, 0, None
4.242640687119286, 4.242640687119286,90, 0, None
6.0, 0.0,0, 0, None
4.242640687119286, 4.242640687119286,0, 0, None
-4.242640687119286, -4.242640687119285,90, 0, None
6.0, 0.0,90, 0, None
4.242640687119284, -4.242640687119286,90, 0, None
-4.242640687119286, -4.242640687119285,0, 0, None
-4.242640687119285, 4.242640687119286,0, 0, None
-1.102182119232618e-15, -6.0,90, 0, None
-1.102182119232618e-15, -6.0,0, 0, None
3.6739403974420594e-16, 6.0,0, 0, None
